filename,count,count1
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-56_Flatbush_Ave__Willoughby.jpg,217,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-11_Flatbush_Ave__Willoughby.jpg,218,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-46_Flatbush_Ave__Willoughby.jpg,219,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-40-30_Flatbush_Ave__Willoughby.jpg,220,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-43-19_Flatbush_Ave__Willoughby.jpg,221,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-35-57_Flatbush_Ave__Willoughby.jpg,222,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-45-10_Flatbush_Ave__Willoughby.jpg,223,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-47_Flatbush_Ave__Willoughby.jpg,224,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-08_Flatbush_Ave__Willoughby.jpg,225,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-44-57_Flatbush_Ave__Willoughby.jpg,226,3
/home/rnam/Documents/ped/data/team500/2016-07-17-13-42-23_Flatbush_Ave__Willoughby.jpg,227,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-57_Flatbush_Ave__Willoughby.jpg,228,6
/home/rnam/Documents/ped/data/team500/2016-07-17-13-37-50_Flatbush_Ave__Willoughby.jpg,229,4
/home/rnam/Documents/ped/data/team500/2016-07-17-13-41-14_Flatbush_Ave__Willoughby.jpg,230,3
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-01_Flatbush_Ave__Willoughby.jpg,231,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-36-33_Flatbush_Ave__Willoughby.jpg,232,5
/home/rnam/Documents/ped/data/team500/2016-07-17-13-38-52_Flatbush_Ave__Willoughby.jpg,233,6
